Région de notification	Cas confirmés	Zone
Auvergne-Rhône-Alpes	264	Métropole
Bourgogne-Franche-Comté	155	Métropole
Bretagne	94	Métropole
Centre-Val de Loire	20	Métropole
Corse	51	Métropole
Grand Est	578	Métropole
Hauts-de-France	263	Métropole
Ile-de-France	492	Métropole
Normandie	54	Métropole
Nouvelle-Aquitaine	66	Métropole
Occitanie	87	Métropole
Pays de la Loire	34	Métropole
Provence-Alpes-Côte d’Azur	111	Métropole
Guadeloupe	0	Outre Mer
Saint-Barthélémy	1	Outre Mer
Saint-Martin	2	Outre Mer
Guyane	5	Outre Mer
Martinique	3	Outre Mer
Mayotte	0	Outre Mer
La Réunion	1	Outre Mer
