Région de notification	Cas confirmés	Zone
Auvergne-Rhône-Alpes	329	Métropole
Bourgogne-Franche-Comté	219	Métropole
Bretagne	117	Métropole
Centre-Val de Loire	30	Métropole
Corse	64	Métropole
Grand Est	699	Métropole
Hauts-de-France	349	Métropole
Ile-de-France	577	Métropole
Normandie	68	Métropole
Nouvelle-Aquitaine	87	Métropole
Occitanie	133	Métropole
Pays de la Loire	41	Métropole
Provence-Alpes-Côte d’Azur	147	Métropole
Guadeloupe	0	Outre Mer
Saint-Barthélémy	1	Outre Mer
Saint-Martin	2	Outre Mer
Guyane	6	Outre Mer
Martinique	4	Outre Mer
Mayotte	0	Outre Mer
La Réunion	3	Outre Mer
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
