Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	416	Métropole	13/03/2020
Bourgogne-Franche-Comté	272	Métropole	13/03/2020
Bretagne	155	Métropole	13/03/2020
Centre-Val de Loire	33	Métropole	13/03/2020
Corse	85	Métropole	13/03/2020
Grand Est	911	Métropole	13/03/2020
Hauts-de-France	397	Métropole	13/03/2020
Ile-de-France	721	Métropole	13/03/2020
Normandie	97	Métropole	13/03/2020
Nouvelle-Aquitaine	114	Métropole	13/03/2020
Occitanie	172	Métropole	13/03/2020
Pays de la Loire	55	Métropole	13/03/2020
Provence-Alpes-Côte d’Azur	212	Métropole	13/03/2020
Guadeloupe	1	Outre Mer	13/03/2020
Saint-Barthélémy	1	Outre Mer	13/03/2020
Saint-Martin	2	Outre Mer	13/03/2020
Guyane	6	Outre Mer	13/03/2020
Martinique	6	Outre Mer	13/03/2020
Mayotte	0	Outre Mer	13/03/2020
La Réunion	5	Outre Mer	13/03/2020
