Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	1014	Métropole	19/03/2020
Bourgogne-Franche-Comté	696	Métropole	19/03/2020
Bretagne	297	Métropole	19/03/2020
Centre-Val de Loire	157	Métropole	19/03/2020
Corse	162	Métropole	19/03/2020
Grand Est	2643	Métropole	19/03/2020
Hauts-de-France	700	Métropole	19/03/2020
Ile-de-France	3384	Métropole	19/03/2020
Normandie	241	Métropole	19/03/2020
Nouvelle-Aquitaine	280	Métropole	19/03/2020
Occitanie	444	Métropole	19/03/2020
Pays de la Loire	160	Métropole	19/03/2020
Provence-Alpes-Côte d’Azur	693	Métropole	19/03/2020
Guadeloupe	45	Outre Mer	19/03/2020
Saint-Barthélémy	3	Outre Mer	19/03/2020
Saint-Martin	4	Outre Mer	19/03/2020
Guyane	15	Outre Mer	19/03/2020
Martinique	32	Outre Mer	19/03/2020
Mayotte	6	Outre Mer	19/03/2020
La Réunion	19	Outre Mer	19/03/2020
